timestamp,city,temperature_C,humidity_%,air_quality_index,weather_condition
2023-01-01 00:00:00,Johannesburg,24.5,82,101,Sunny
2023-01-01 00:00:00,Cape Town,21.3,60,132,Sunny
2023-01-01 00:00:00,Durban,17.4,50,117,Rainy
2023-01-01 00:00:00,Pretoria,21.4,75,133,Cloudy
2023-01-01 00:00:00,Bloemfontein,19.1,60,87,Cloudy
2023-01-01 01:00:00,Johannesburg,19.4,61,118,Cloudy
2023-01-01 01:00:00,Cape Town,26.1,81,44,Sunny
2023-01-01 01:00:00,Durban,14.4,86,80,Foggy
2023-01-01 01:00:00,Pretoria,22.7,42,80,Sunny
2023-01-01 01:00:00,Bloemfontein,21.8,46,50,Foggy
2023-01-01 02:00:00,Johannesburg,20.5,64,89,Stormy
2023-01-01 02:00:00,Cape Town,21.9,53,38,Sunny
2023-01-01 02:00:00,Durban,25.9,83,37,Sunny
2023-01-01 02:00:00,Pretoria,16.5,86,64,Sunny
2023-01-01 02:00:00,Bloemfontein,20.9,79,161,Cloudy
2023-01-01 03:00:00,Johannesburg,23.9,41,163,Cloudy
2023-01-01 03:00:00,Cape Town,23.6,68,175,Foggy
2023-01-01 03:00:00,Durban,15.0,65,73,Foggy
2023-01-01 03:00:00,Pretoria,25.7,47,69,Sunny
2023-01-01 03:00:00,Bloemfontein,22.9,60,111,Foggy
2023-01-01 04:00:00,Johannesburg,33.7,64,153,Cloudy
2023-01-01 04:00:00,Cape Town,27.4,84,70,Foggy
2023-01-01 04:00:00,Durban,17.8,64,100,Stormy
2023-01-01 04:00:00,Pretoria,19.4,48,117,Cloudy
2023-01-01 04:00:00,Bloemfontein,14.2,50,110,Stormy
2023-01-01 05:00:00,Johannesburg,18.0,47,62,Foggy
2023-01-01 05:00:00,Cape Town,25.5,80,57,Rainy
2023-01-01 05:00:00,Durban,22.9,46,101,Sunny
2023-01-01 05:00:00,Pretoria,17.5,62,91,Cloudy
2023-01-01 05:00:00,Bloemfontein,21.4,63,66,Stormy
2023-01-01 06:00:00,Johannesburg,26.1,66,64,Rainy
2023-01-01 06:00:00,Cape Town,28.8,40,130,Rainy
2023-01-01 06:00:00,Durban,17.3,53,132,Cloudy
2023-01-01 06:00:00,Pretoria,25.9,66,166,Cloudy
2023-01-01 06:00:00,Bloemfontein,18.9,52,92,Rainy
2023-01-01 07:00:00,Johannesburg,23.7,71,81,Sunny
2023-01-01 07:00:00,Cape Town,31.0,76,172,Sunny
2023-01-01 07:00:00,Durban,24.9,82,58,Stormy
2023-01-01 07:00:00,Pretoria,18.0,41,74,Sunny
2023-01-01 07:00:00,Bloemfontein,19.5,45,57,Rainy
2023-01-01 08:00:00,Johannesburg,19.4,69,104,Rainy
2023-01-01 08:00:00,Cape Town,24.6,67,158,Foggy
2023-01-01 08:00:00,Durban,20.0,52,32,Rainy
2023-01-01 08:00:00,Pretoria,14.7,78,166,Sunny
2023-01-01 08:00:00,Bloemfontein,31.7,81,88,Stormy
2023-01-01 09:00:00,Johannesburg,21.2,71,125,Foggy
2023-01-01 09:00:00,Cape Town,11.5,88,81,Sunny
2023-01-01 09:00:00,Durban,28.3,51,68,Stormy
2023-01-01 09:00:00,Pretoria,12.4,88,110,Sunny
2023-01-01 09:00:00,Bloemfontein,21.9,88,31,Foggy
2023-01-01 10:00:00,Johannesburg,18.7,76,158,Rainy
2023-01-01 10:00:00,Cape Town,22.0,58,155,Foggy
2023-01-01 10:00:00,Durban,21.8,71,97,Rainy
2023-01-01 10:00:00,Pretoria,16.2,50,152,Foggy
2023-01-01 10:00:00,Bloemfontein,25.6,44,145,Cloudy
2023-01-01 11:00:00,Johannesburg,18.9,73,168,Sunny
2023-01-01 11:00:00,Cape Town,24.6,48,153,Sunny
2023-01-01 11:00:00,Durban,24.7,45,122,Cloudy
2023-01-01 11:00:00,Pretoria,19.9,75,176,Rainy
2023-01-01 11:00:00,Bloemfontein,26.3,65,176,Sunny
2023-01-01 12:00:00,Johannesburg,18.4,80,157,Cloudy
2023-01-01 12:00:00,Cape Town,20.7,78,111,Sunny
2023-01-01 12:00:00,Durban,24.4,64,71,Stormy
2023-01-01 12:00:00,Pretoria,26.6,74,36,Rainy
2023-01-01 12:00:00,Bloemfontein,27.2,88,31,Stormy
2023-01-01 13:00:00,Johannesburg,24.6,40,77,Rainy
2023-01-01 13:00:00,Cape Town,22.3,71,38,Cloudy
2023-01-01 13:00:00,Durban,24.5,80,128,Rainy
2023-01-01 13:00:00,Pretoria,26.1,59,83,Rainy
2023-01-01 13:00:00,Bloemfontein,24.4,72,145,Cloudy
2023-01-01 14:00:00,Johannesburg,23.1,74,141,Rainy
2023-01-01 14:00:00,Cape Town,26.2,64,128,Sunny
2023-01-01 14:00:00,Durban,21.3,74,97,Foggy
2023-01-01 14:00:00,Pretoria,12.3,72,171,Cloudy
2023-01-01 14:00:00,Bloemfontein,27.8,47,164,Foggy
2023-01-01 15:00:00,Johannesburg,17.9,42,174,Cloudy
2023-01-01 15:00:00,Cape Town,24.1,61,148,Cloudy
2023-01-01 15:00:00,Durban,12.6,61,67,Stormy
2023-01-01 15:00:00,Pretoria,21.9,47,56,Stormy
2023-01-01 15:00:00,Bloemfontein,24.1,66,50,Rainy
2023-01-01 16:00:00,Johannesburg,35.7,72,90,Foggy
2023-01-01 16:00:00,Cape Town,22.5,87,176,Cloudy
2023-01-01 16:00:00,Durban,29.4,56,75,Rainy
2023-01-01 16:00:00,Pretoria,24.0,45,128,Sunny
2023-01-01 16:00:00,Bloemfontein,25.0,70,128,Cloudy
2023-01-01 17:00:00,Johannesburg,12.3,72,145,Sunny
2023-01-01 17:00:00,Cape Town,17.8,62,96,Rainy
2023-01-01 17:00:00,Durban,14.4,57,54,Stormy
2023-01-01 17:00:00,Pretoria,27.5,42,133,Rainy
2023-01-01 17:00:00,Bloemfontein,20.3,85,53,Sunny
2023-01-01 18:00:00,Johannesburg,25.2,62,156,Cloudy
2023-01-01 18:00:00,Cape Town,16.6,66,159,Foggy
2023-01-01 18:00:00,Durban,26.4,48,72,Rainy
2023-01-01 18:00:00,Pretoria,19.8,87,68,Cloudy
2023-01-01 18:00:00,Bloemfontein,26.5,74,79,Stormy
2023-01-01 19:00:00,Johannesburg,19.0,64,42,Stormy
2023-01-01 19:00:00,Cape Town,16.1,47,173,Stormy
2023-01-01 19:00:00,Durban,24.5,53,144,Cloudy
2023-01-01 19:00:00,Pretoria,16.2,41,61,Rainy
2023-01-01 19:00:00,Bloemfontein,14.5,62,115,Cloudy
2023-01-01 20:00:00,Johannesburg,17.4,61,87,Cloudy
2023-01-01 20:00:00,Cape Town,19.7,61,78,Foggy
2023-01-01 20:00:00,Durban,17.5,72,37,Foggy
2023-01-01 20:00:00,Pretoria,20.3,83,137,Rainy
2023-01-01 20:00:00,Bloemfontein,18.3,84,145,Foggy
2023-01-01 21:00:00,Johannesburg,23.1,69,76,Stormy
2023-01-01 21:00:00,Cape Town,18.2,55,42,Foggy
2023-01-01 21:00:00,Durban,24.1,89,153,Stormy
2023-01-01 21:00:00,Pretoria,15.5,65,146,Rainy
2023-01-01 21:00:00,Bloemfontein,12.0,62,156,Cloudy
